date,symbol,sector,exchange,open,high,low,close,volume,market_cap,price,daily_return
2020-01-30,AAPL,Technology,NASDAQ,134.62,136.95,131.01,135.75,8013437,1263312651.0,135.75,0.83
2020-01-31,AAPL,Technology,NASDAQ,135.75,136.24,132.11,134.71,6925950,469398593.0,134.71,-0.76
2020-02-03,AAPL,Technology,NASDAQ,134.71,136.44,133.25,133.98,2262937,914065173.0,133.98,-0.54
2020-02-04,AAPL,Technology,NASDAQ,133.98,136.13,129.18,131.2,1969631,711498399.0,131.2,-2.08
2020-02-05,AAPL,Technology,NASDAQ,131.2,134.91,127.57,130.21,1465522,964844908.0,130.21,-0.76
2020-02-06,AAPL,Technology,NASDAQ,130.21,134.97,127.29,131.18,3034490,781774963.0,131.18,0.74
2020-02-07,AAPL,Technology,NASDAQ,131.18,135.11,125.99,128.82,5164999,157844368.0,128.82,-1.8
2020-02-10,AAPL,Technology,NASDAQ,128.82,129.9,126.48,126.83,3281913,824426476.0,126.83,-1.55
2020-02-11,AAPL,Technology,NASDAQ,126.83,129.75,125.13,128.03,23548465,271295728.0,128.03,0.95
2020-02-12,AAPL,Technology,NASDAQ,128.03,128.96,126.72,127.47,1640982,976404784.0,127.47,-0.44
2020-02-13,AAPL,Technology,NASDAQ,127.47,134.2,123.99,132.08,13155174,397306325.0,132.08,3.61
2020-02-14,AAPL,Technology,NASDAQ,132.08,142.16,129.4,138.59,3544723,1026138410.0,138.59,4.93
2020-02-17,AAPL,Technology,NASDAQ,138.59,139.71,137.12,138.76,2268117,148655741.0,138.76,0.12
2020-02-18,AAPL,Technology,NASDAQ,138.76,146.14,137.66,143.23,3490826,1398439140.0,143.23,3.22
2020-02-19,AAPL,Technology,NASDAQ,143.23,149.88,141.32,146.29,954684,246788389.0,146.29,2.13
2020-02-20,AAPL,Technology,NASDAQ,146.29,148.89,143.43,147.39,7144281,688963427.0,147.39,0.75
2020-02-21,AAPL,Technology,NASDAQ,147.39,151.32,143.34,148.46,4622509,1087327664.0,148.46,0.73
2020-02-24,AAPL,Technology,NASDAQ,148.46,153.66,145.66,151.03,9847099,804622339.0,151.03,1.73
2020-02-25,AAPL,Technology,NASDAQ,151.03,161.32,147.51,158.23,5250495,1002065763.0,158.23,4.76
2020-02-26,AAPL,Technology,NASDAQ,158.23,159.21,155.22,158.36,2228137,1507154344.0,158.36,0.09
2020-02-27,AAPL,Technology,NASDAQ,158.36,162.93,154.06,160.2,8373107,523711663.0,160.2,1.16
2020-02-28,AAPL,Technology,NASDAQ,160.2,163.04,154.98,155.08,6718579,1101943460.0,155.08,-3.2
2020-03-02,AAPL,Technology,NASDAQ,155.08,156.71,153.04,154.69,7819739,789393788.0,154.69,-0.25
2020-03-03,AAPL,Technology,NASDAQ,154.69,158.04,146.18,149.41,3158065,713114667.0,149.41,-3.42
2020-03-04,AAPL,Technology,NASDAQ,149.41,150.77,148.88,149.51,3955425,1193034012.0,149.51,0.07
2020-03-05,AAPL,Technology,NASDAQ,149.51,155.81,148.85,151.43,3039401,1114110513.0,151.43,1.28
2020-03-06,AAPL,Technology,NASDAQ,151.43,152.65,145.7,147.99,1799649,1160582331.0,147.99,-2.27
2020-03-09,AAPL,Technology,NASDAQ,147.99,153.91,146.08,150.76,3585752,1372945417.0,150.76,1.88
2020-03-10,AAPL,Technology,NASDAQ,150.76,155.11,149.59,151.13,1042393,1256731840.0,151.13,0.25
2020-03-11,AAPL,Technology,NASDAQ,151.13,155.4,147.94,152.87,1578239,1342618456.0,152.87,1.15
2020-03-12,AAPL,Technology,NASDAQ,152.87,158.41,150.63,154.18,4227864,1158290942.0,154.18,0.86
2020-03-13,AAPL,Technology,NASDAQ,154.18,154.51,147.07,149.78,5362793,1473437333.0,149.78,-2.86
2020-03-16,AAPL,Technology,NASDAQ,149.78,152.16,148.3,150.18,2170767,168028684.0,150.18,0.27
2020-03-17,AAPL,Technology,NASDAQ,150.18,160.39,148.34,159.02,505212,330703485.0,159.02,5.89
2020-03-18,AAPL,Technology,NASDAQ,159.02,161.51,154.56,155.63,2338880,808869584.0,155.63,-2.13
2020-03-19,AAPL,Technology,NASDAQ,155.63,159.56,151.84,155.6,5491403,955998771.0,155.6,-0.02
2020-03-20,AAPL,Technology,NASDAQ,155.6,167.67,155.49,164.1,6162043,640076771.0,164.1,5.46
2020-03-23,AAPL,Technology,NASDAQ,164.1,167.76,155.32,158.9,446591,663856065.0,158.9,-3.17
2020-03-24,AAPL,Technology,NASDAQ,158.9,159.72,152.04,155.99,17215173,318720424.0,155.99,-1.83
2020-03-25,AAPL,Technology,NASDAQ,155.99,156.84,154.6,154.9,2664117,1187313610.0,154.9,-0.7
2020-03-26,AAPL,Technology,NASDAQ,154.9,165.33,151.4,163.27,9179334,516651827.0,163.27,5.41
2020-03-27,AAPL,Technology,NASDAQ,163.27,163.73,157.34,160.66,2512010,528348880.0,160.66,-1.6
2020-03-30,AAPL,Technology,NASDAQ,160.66,165.33,158.08,163.63,5955922,1102664643.0,163.63,1.85
2020-03-31,AAPL,Technology,NASDAQ,163.63,173.72,158.94,170.47,782194,800064404.0,170.47,4.18
2020-04-01,AAPL,Technology,NASDAQ,170.47,173.41,168.85,170.65,6961707,358456498.0,170.65,0.1
2020-04-02,AAPL,Technology,NASDAQ,170.65,176.43,168.99,172.29,8254198,1076249981.0,172.29,0.96
2020-04-03,AAPL,Technology,NASDAQ,172.29,177.81,171.36,174.53,5215039,533318284.0,174.53,1.3
2020-04-06,AAPL,Technology,NASDAQ,174.53,176.51,165.93,170.85,1624355,953370129.0,170.85,-2.11
2020-04-07,AAPL,Technology,NASDAQ,170.85,172.49,168.16,168.95,4023240,735520749.0,168.95,-1.12
2020-04-08,AAPL,Technology,NASDAQ,168.95,169.54,165.11,166.63,7645303,192812696.0,166.63,-1.37
2020-04-09,AAPL,Technology,NASDAQ,166.63,171.43,163.74,168.66,3021513,1404342528.0,168.66,1.22
2020-04-10,AAPL,Technology,NASDAQ,168.66,170.62,167.53,168.74,3675969,864337163.0,168.74,0.05
2020-04-13,AAPL,Technology,NASDAQ,168.74,170.89,167.12,169.67,9540357,1355691987.0,169.67,0.55
2020-04-14,AAPL,Technology,NASDAQ,169.67,174.27,165.62,168.11,4246573,716977123.0,168.11,-0.92
2020-04-15,AAPL,Technology,NASDAQ,168.11,168.17,166.8,167.27,7678806,1203921483.0,167.27,-0.5
2020-04-16,AAPL,Technology,NASDAQ,167.27,172.51,164.68,169.08,2886267,777746275.0,169.08,1.08
2020-04-17,AAPL,Technology,NASDAQ,169.08,170.57,162.45,165.79,26492898,623976826.0,165.79,-1.95
2020-04-20,AAPL,Technology,NASDAQ,165.79,170.42,164.41,164.54,4194625,1001002274.0,164.54,-0.76
2020-04-21,AAPL,Technology,NASDAQ,164.54,170.49,160.18,168.71,2821961,552761715.0,168.71,2.54
2020-04-22,AAPL,Technology,NASDAQ,168.71,171.99,164.08,171.47,12709760,1460552631.0,171.47,1.63
2020-04-23,AAPL,Technology,NASDAQ,171.47,176.06,165.14,169.47,841729,1339500102.0,169.47,-1.16
2020-04-24,AAPL,Technology,NASDAQ,169.47,173.61,163.25,163.51,800135,1305437390.0,163.51,-3.52
2020-04-27,AAPL,Technology,NASDAQ,163.51,166.98,154.11,156.55,9525452,1473945372.0,156.55,-4.26
2020-04-28,AAPL,Technology,NASDAQ,156.55,160.59,154.16,160.06,2785844,957866644.0,160.06,2.24
2020-04-29,AAPL,Technology,NASDAQ,160.06,165.13,158.06,161.51,1429405,1018246339.0,161.51,0.91
2020-04-30,AAPL,Technology,NASDAQ,161.51,161.91,157.2,159.45,279513,1068941299.0,159.45,-1.27
2020-05-01,AAPL,Technology,NASDAQ,159.45,160.86,157.32,160.51,3310442,541413462.0,160.51,0.66
2020-05-04,AAPL,Technology,NASDAQ,160.51,165.3,156.42,157.85,1242814,1099769256.0,157.85,-1.65
2020-05-05,AAPL,Technology,NASDAQ,157.85,160.79,154.16,157.57,8678064,577952197.0,157.57,-0.18
2020-05-06,AAPL,Technology,NASDAQ,157.57,158.66,149.6,152.97,16016726,790300011.0,152.97,-2.92
2020-05-07,AAPL,Technology,NASDAQ,152.97,155.86,152.11,154.43,21341643,908830306.0,154.43,0.95
2020-05-08,AAPL,Technology,NASDAQ,154.43,154.78,151.81,152.09,2183511,239576799.0,152.09,-1.52
2020-05-11,AAPL,Technology,NASDAQ,152.09,153.53,149.4,152.78,9222516,322420141.0,152.78,0.46
2020-05-12,AAPL,Technology,NASDAQ,152.78,155.82,152.64,154.06,1091053,823562035.0,154.06,0.84
2020-05-13,AAPL,Technology,NASDAQ,154.06,155.32,140.67,144.77,1327364,1040821197.0,144.77,-6.03
2020-05-14,AAPL,Technology,NASDAQ,144.77,149.44,144.39,146.15,22109757,1396029775.0,146.15,0.96
2020-05-15,AAPL,Technology,NASDAQ,146.15,147.05,138.19,141.36,1728499,927195104.0,141.36,-3.28
2020-05-18,AAPL,Technology,NASDAQ,141.36,144.21,135.1,136.67,5584423,298877189.0,136.67,-3.32
2020-05-19,AAPL,Technology,NASDAQ,136.67,138.75,135.98,136.8,2134979,500488666.0,136.8,0.1
2020-05-20,AAPL,Technology,NASDAQ,136.8,138.52,134.14,135.01,41419311,688638892.0,135.01,-1.31
2020-05-21,AAPL,Technology,NASDAQ,135.01,138.31,133.54,135.83,3435155,210566628.0,135.83,0.61
2020-05-22,AAPL,Technology,NASDAQ,135.83,140.43,133.85,138.97,2850263,327012664.0,138.97,2.32
2020-05-25,AAPL,Technology,NASDAQ,138.97,148.52,138.76,144.77,822331,646168453.0,144.77,4.17
2020-05-26,AAPL,Technology,NASDAQ,144.77,146.88,140.63,146.58,5874347,417676899.0,146.58,1.25
2020-05-27,AAPL,Technology,NASDAQ,146.58,149.13,139.71,142.52,1790031,1282925200.0,142.52,-2.77
2020-05-28,AAPL,Technology,NASDAQ,142.52,144.76,139.73,143.97,1277122,951168009.0,143.97,1.02
2020-05-29,AAPL,Technology,NASDAQ,143.97,148.43,140.62,145.8,3318635,1071421961.0,145.8,1.27
2020-06-01,AAPL,Technology,NASDAQ,145.8,146.57,140.08,144.01,1479370,467341667.0,144.01,-1.23
2020-06-02,AAPL,Technology,NASDAQ,144.01,146.19,140.84,142.16,986700,294591998.0,142.16,-1.28
2020-06-03,AAPL,Technology,NASDAQ,142.16,145.1,140.08,142.16,1328929,586452502.0,142.16,-0.0
2020-06-04,AAPL,Technology,NASDAQ,142.16,148.59,138.68,145.33,1757910,1040633385.0,145.33,2.23
2020-06-05,AAPL,Technology,NASDAQ,145.33,148.02,141.74,144.47,327118,1135548281.0,144.47,-0.59
2020-06-08,AAPL,Technology,NASDAQ,144.47,145.11,139.97,143.7,3713310,560673384.0,143.7,-0.53
2020-06-09,AAPL,Technology,NASDAQ,143.7,145.67,143.13,145.54,6268609,1000214161.0,145.54,1.28
2020-06-10,AAPL,Technology,NASDAQ,145.54,148.76,139.02,142.52,2605800,1039309129.0,142.52,-2.08
2020-06-11,AAPL,Technology,NASDAQ,142.52,143.92,135.21,138.88,1699129,922467641.0,138.88,-2.55
2020-06-12,AAPL,Technology,NASDAQ,138.88,144.81,135.07,142.68,6284735,1337842582.0,142.68,2.74
2020-06-15,AAPL,Technology,NASDAQ,142.68,146.79,140.82,144.26,16969853,1079403934.0,144.26,1.1
2020-06-16,AAPL,Technology,NASDAQ,144.26,151.99,141.47,149.43,882355,345870584.0,149.43,3.59
2020-06-17,AAPL,Technology,NASDAQ,149.43,151.62,146.62,147.28,928344,1380844332.0,147.28,-1.44
2020-06-18,AAPL,Technology,NASDAQ,147.28,151.24,140.39,144.37,1895192,810280664.0,144.37,-1.97
2020-06-19,AAPL,Technology,NASDAQ,144.37,147.42,144.27,147.4,3779884,299234534.0,147.4,2.09
2020-06-22,AAPL,Technology,NASDAQ,147.4,151.99,145.5,149.49,4022859,1403157815.0,149.49,1.42
2020-06-23,AAPL,Technology,NASDAQ,149.49,151.4,145.35,147.53,1200145,288347302.0,147.53,-1.31
2020-06-24,AAPL,Technology,NASDAQ,147.53,158.05,143.49,154.49,4265010,1494141477.0,154.49,4.72
2020-06-25,AAPL,Technology,NASDAQ,154.49,157.24,150.97,153.88,5266244,909290620.0,153.88,-0.39
2020-06-26,AAPL,Technology,NASDAQ,153.88,157.03,150.63,151.72,6991817,1382476447.0,151.72,-1.4
2020-06-29,AAPL,Technology,NASDAQ,151.72,164.77,147.65,160.94,1786172,287538441.0,160.94,6.07
2020-06-30,AAPL,Technology,NASDAQ,160.94,168.72,157.1,163.85,2829119,390683183.0,163.85,1.81
2020-07-01,AAPL,Technology,NASDAQ,163.85,167.2,163.07,164.37,2797740,518700782.0,164.37,0.32
2020-07-02,AAPL,Technology,NASDAQ,164.37,165.18,161.62,162.53,2121092,954621677.0,162.53,-1.12
2020-07-03,AAPL,Technology,NASDAQ,162.53,167.28,160.52,165.71,4170124,303199150.0,165.71,1.96
2020-07-06,AAPL,Technology,NASDAQ,165.71,177.89,163.84,173.21,2194855,707785610.0,173.21,4.53
2020-07-07,AAPL,Technology,NASDAQ,173.21,174.68,172.69,173.47,17477716,977156739.0,173.47,0.15
2020-07-08,AAPL,Technology,NASDAQ,173.47,174.66,168.06,170.4,3453570,1517503346.0,170.4,-1.77
2020-07-09,AAPL,Technology,NASDAQ,170.4,173.0,166.0,171.28,5774352,948412454.0,171.28,0.51
2020-07-10,AAPL,Technology,NASDAQ,171.28,175.2,169.08,171.39,9382860,1348357770.0,171.39,0.07
2020-07-13,AAPL,Technology,NASDAQ,171.39,172.67,168.29,169.6,1397444,1203631809.0,169.6,-1.05
2020-07-14,AAPL,Technology,NASDAQ,169.6,180.8,166.25,176.17,4886732,891028441.0,176.17,3.87
2020-07-15,AAPL,Technology,NASDAQ,176.17,178.58,164.48,166.46,6425652,466986012.0,166.46,-5.51
2020-07-16,AAPL,Technology,NASDAQ,166.46,168.5,161.27,162.38,64115514,500165373.0,162.38,-2.45
2020-07-17,AAPL,Technology,NASDAQ,162.38,170.91,158.74,168.17,8962887,1573744358.0,168.17,3.56
2020-07-20,AAPL,Technology,NASDAQ,168.17,170.31,159.9,163.39,1655706,1334614123.0,163.39,-2.84
2020-07-21,AAPL,Technology,NASDAQ,163.39,167.19,161.48,164.7,1060775,893390249.0,164.7,0.8
2020-07-22,AAPL,Technology,NASDAQ,164.7,169.23,160.24,161.26,4011236,304884066.0,161.26,-2.09
2020-07-23,AAPL,Technology,NASDAQ,161.26,168.14,156.75,166.27,6403946,1644004588.0,166.27,3.11
2020-07-24,AAPL,Technology,NASDAQ,166.27,167.2,163.03,163.83,1991922,244862229.0,163.83,-1.47
2020-07-27,AAPL,Technology,NASDAQ,163.83,167.14,160.88,164.22,9763793,216514534.0,164.22,0.24
2020-07-28,AAPL,Technology,NASDAQ,164.22,168.11,159.2,161.12,6329774,843461189.0,161.12,-1.89
2020-07-29,AAPL,Technology,NASDAQ,161.12,169.26,157.96,164.71,321021,425209627.0,164.71,2.23
2020-07-30,AAPL,Technology,NASDAQ,164.71,165.82,160.81,163.49,17348585,326421216.0,163.49,-0.74
2020-07-31,AAPL,Technology,NASDAQ,163.49,166.41,158.76,165.59,708025,338702615.0,165.59,1.28
2020-08-03,AAPL,Technology,NASDAQ,165.59,170.36,157.41,161.54,5480294,551200241.0,161.54,-2.44
2020-08-04,AAPL,Technology,NASDAQ,161.54,163.04,158.15,162.15,10116208,1097552262.0,162.15,0.37
2020-08-05,AAPL,Technology,NASDAQ,162.15,163.39,161.65,162.36,3191095,1567275039.0,162.36,0.13
2020-08-06,AAPL,Technology,NASDAQ,162.36,173.63,161.57,171.69,1842096,1289642121.0,171.69,5.74
2020-08-07,AAPL,Technology,NASDAQ,171.69,180.17,168.6,177.82,228810,977110307.0,177.82,3.57
2020-08-10,AAPL,Technology,NASDAQ,177.82,179.6,171.52,176.41,4148661,1095790394.0,176.41,-0.79
2020-08-11,AAPL,Technology,NASDAQ,176.41,181.12,176.3,176.87,8465537,1034103864.0,176.87,0.26
2020-08-12,AAPL,Technology,NASDAQ,176.87,179.8,171.97,175.91,9104565,780780355.0,175.91,-0.54
2020-08-13,AAPL,Technology,NASDAQ,175.91,177.46,174.08,176.52,2869518,1740642824.0,176.52,0.35
2020-08-14,AAPL,Technology,NASDAQ,176.52,180.34,174.87,175.64,2247163,1755885403.0,175.64,-0.5
2020-08-17,AAPL,Technology,NASDAQ,175.64,177.34,169.82,174.6,1135369,495763874.0,174.6,-0.59
2020-08-18,AAPL,Technology,NASDAQ,174.6,179.28,166.57,167.49,19090224,1587188152.0,167.49,-4.07
2020-08-19,AAPL,Technology,NASDAQ,167.49,173.73,162.63,171.86,1968067,1236364953.0,171.86,2.61
2020-08-20,AAPL,Technology,NASDAQ,171.86,179.71,168.22,177.39,373294,1618124420.0,177.39,3.22
2020-08-21,AAPL,Technology,NASDAQ,177.39,182.01,172.46,175.15,4872589,190930628.0,175.15,-1.26
2020-08-24,AAPL,Technology,NASDAQ,175.15,177.7,167.0,169.48,2895167,654077722.0,169.48,-3.24
2020-08-25,AAPL,Technology,NASDAQ,169.48,172.76,161.05,163.9,2044289,330241685.0,163.9,-3.3
2020-08-26,AAPL,Technology,NASDAQ,163.9,172.11,159.31,169.58,3710930,1168232894.0,169.58,3.47
2020-08-27,AAPL,Technology,NASDAQ,169.58,169.64,163.42,167.76,5536856,1307014086.0,167.76,-1.07
2020-08-28,AAPL,Technology,NASDAQ,167.76,173.04,165.91,171.75,1307273,1710773244.0,171.75,2.38
2020-08-31,AAPL,Technology,NASDAQ,171.75,174.42,159.33,164.02,909293,1288269530.0,164.02,-4.5
2020-09-01,AAPL,Technology,NASDAQ,164.02,166.99,159.07,162.75,3987034,960686853.0,162.75,-0.77
2020-09-02,AAPL,Technology,NASDAQ,162.75,166.27,155.8,159.16,846034,219350088.0,159.16,-2.21
2020-09-03,AAPL,Technology,NASDAQ,159.16,172.31,157.88,167.6,2410744,237157803.0,167.6,5.3
2020-09-04,AAPL,Technology,NASDAQ,167.6,169.84,166.8,169.02,585639,366828517.0,169.02,0.84
2020-09-07,AAPL,Technology,NASDAQ,169.02,170.76,163.91,167.16,32555889,1459835885.0,167.16,-1.1
2020-09-08,AAPL,Technology,NASDAQ,167.16,168.39,163.81,164.7,20024129,1117971925.0,164.7,-1.47
2020-09-09,AAPL,Technology,NASDAQ,164.7,165.16,157.22,157.61,10263815,225223195.0,157.61,-4.31
2020-09-10,AAPL,Technology,NASDAQ,157.61,162.89,153.29,160.38,8976687,945344510.0,160.38,1.76
2020-09-11,AAPL,Technology,NASDAQ,160.38,165.99,158.74,162.07,6019927,767873807.0,162.07,1.05
2020-09-14,AAPL,Technology,NASDAQ,162.07,166.79,160.35,162.39,3306327,1396177850.0,162.39,0.2
2020-09-15,AAPL,Technology,NASDAQ,162.39,166.05,160.92,165.88,3737201,503575373.0,165.88,2.15
2020-09-16,AAPL,Technology,NASDAQ,165.88,167.98,164.23,165.24,2802334,303716729.0,165.24,-0.38
2020-09-17,AAPL,Technology,NASDAQ,165.24,169.35,158.76,163.49,7932806,1157751142.0,163.49,-1.06
2020-09-18,AAPL,Technology,NASDAQ,163.49,163.86,160.4,161.87,2399636,183572727.0,161.87,-0.99
2020-09-21,AAPL,Technology,NASDAQ,161.87,164.65,152.71,153.62,905152,1249293704.0,153.62,-5.1
2020-09-22,AAPL,Technology,NASDAQ,153.62,160.97,150.98,158.5,7542475,1292171603.0,158.5,3.18
2020-09-23,AAPL,Technology,NASDAQ,158.5,163.46,157.54,158.98,9487449,1415602675.0,158.98,0.31
2020-09-24,AAPL,Technology,NASDAQ,158.98,170.84,156.11,169.46,1705943,1520033950.0,169.46,6.59
2020-09-25,AAPL,Technology,NASDAQ,169.46,173.21,158.8,162.51,563206,929647867.0,162.51,-4.1
2020-09-28,AAPL,Technology,NASDAQ,162.51,166.67,153.78,155.11,2422380,276919338.0,155.11,-4.55
2020-09-29,AAPL,Technology,NASDAQ,155.11,156.92,153.62,155.13,4131762,649791855.0,155.13,0.01
2020-09-30,AAPL,Technology,NASDAQ,155.13,157.87,152.69,152.77,7288857,1062486625.0,152.77,-1.52
2020-10-01,AAPL,Technology,NASDAQ,152.77,155.58,148.92,152.73,6419299,941847290.0,152.73,-0.02
2020-10-02,AAPL,Technology,NASDAQ,152.73,158.32,151.96,157.23,2346448,293009610.0,157.23,2.95
2020-10-05,AAPL,Technology,NASDAQ,157.23,157.4,156.68,156.88,1980500,1495715812.0,156.88,-0.22
2020-10-06,AAPL,Technology,NASDAQ,156.88,161.45,154.56,155.1,2763158,1468061435.0,155.1,-1.14
2020-10-07,AAPL,Technology,NASDAQ,155.1,158.93,152.84,157.7,38028337,637317020.0,157.7,1.68
2020-10-08,AAPL,Technology,NASDAQ,157.7,170.41,153.13,166.67,1679592,445985978.0,166.67,5.69
2020-10-09,AAPL,Technology,NASDAQ,166.67,171.06,159.74,163.34,3854291,590339468.0,163.34,-2.0
2020-10-12,AAPL,Technology,NASDAQ,163.34,167.51,156.37,161.03,3169388,801728861.0,161.03,-1.41
2020-10-13,AAPL,Technology,NASDAQ,161.03,164.27,158.17,163.84,24402704,1286090377.0,163.84,1.75
2020-10-14,AAPL,Technology,NASDAQ,163.84,168.93,159.47,164.19,1739325,1512628613.0,164.19,0.21
2020-10-15,AAPL,Technology,NASDAQ,164.19,169.01,162.08,164.54,9161068,1546626669.0,164.54,0.21
2020-10-16,AAPL,Technology,NASDAQ,164.54,168.85,163.94,167.51,20722017,563926512.0,167.51,1.8
2020-10-19,AAPL,Technology,NASDAQ,167.51,168.3,161.91,166.09,5647815,1576822619.0,166.09,-0.85
2020-10-20,AAPL,Technology,NASDAQ,166.09,171.78,164.19,168.34,7705507,1413053598.0,168.34,1.36
2020-10-21,AAPL,Technology,NASDAQ,168.34,170.03,166.52,167.81,3785595,602872841.0,167.81,-0.32
2020-10-22,AAPL,Technology,NASDAQ,167.81,168.78,160.05,164.57,7742715,671675671.0,164.57,-1.93
2020-10-23,AAPL,Technology,NASDAQ,164.57,166.43,155.88,160.66,3814832,1203902377.0,160.66,-2.38
2020-10-26,AAPL,Technology,NASDAQ,160.66,167.53,156.7,165.59,2580895,839237753.0,165.59,3.07
2020-10-27,AAPL,Technology,NASDAQ,165.59,169.41,163.19,163.45,5345646,964337104.0,163.45,-1.29
2020-10-28,AAPL,Technology,NASDAQ,163.45,169.06,158.83,166.69,8683186,507228030.0,166.69,1.98
2020-10-29,AAPL,Technology,NASDAQ,166.69,170.48,159.71,164.52,4766924,1012791457.0,164.52,-1.3
2020-10-30,AAPL,Technology,NASDAQ,164.52,168.33,162.59,164.15,427094,580259906.0,164.15,-0.23
2020-11-02,AAPL,Technology,NASDAQ,164.15,168.8,159.44,163.85,960361,1459279389.0,163.85,-0.18
2020-11-03,AAPL,Technology,NASDAQ,163.85,167.98,160.69,161.79,7858465,764133266.0,161.79,-1.26
2020-11-04,AAPL,Technology,NASDAQ,161.79,166.66,160.04,164.58,2960367,714327411.0,164.58,1.73
2020-11-05,AAPL,Technology,NASDAQ,164.58,166.17,155.85,157.15,1854880,926859109.0,157.15,-4.52
2020-11-06,AAPL,Technology,NASDAQ,157.15,159.34,156.51,157.6,2598896,532355618.0,157.6,0.29
2020-11-09,AAPL,Technology,NASDAQ,157.6,158.56,148.79,152.97,3814222,1016426478.0,152.97,-2.94
2020-11-10,AAPL,Technology,NASDAQ,152.97,158.84,151.25,155.3,5115105,955177455.0,155.3,1.52
2020-11-11,AAPL,Technology,NASDAQ,155.3,162.62,151.18,160.3,5343570,288218970.0,160.3,3.22
2020-11-12,AAPL,Technology,NASDAQ,160.3,162.99,151.15,154.75,5993374,599538569.0,154.75,-3.47
2020-11-13,AAPL,Technology,NASDAQ,154.75,156.65,153.81,155.4,1654398,1335548886.0,155.4,0.42
2020-11-16,AAPL,Technology,NASDAQ,155.4,165.12,155.28,163.18,2224270,677499261.0,163.18,5.01
2020-11-17,AAPL,Technology,NASDAQ,163.18,170.44,158.48,166.55,5002546,193870304.0,166.55,2.06
2020-11-18,AAPL,Technology,NASDAQ,166.55,167.06,162.02,164.13,5059174,1494785796.0,164.13,-1.45
2020-11-19,AAPL,Technology,NASDAQ,164.13,173.33,159.25,170.46,7860511,1698162361.0,170.46,3.86
2020-11-20,AAPL,Technology,NASDAQ,170.46,175.43,169.57,174.99,3582551,1514484375.0,174.99,2.66
2020-11-23,AAPL,Technology,NASDAQ,174.99,179.66,173.95,176.02,1129592,880248253.0,176.02,0.59
2020-11-24,AAPL,Technology,NASDAQ,176.02,181.69,171.4,176.65,2485459,1458887253.0,176.65,0.35
2020-11-25,AAPL,Technology,NASDAQ,176.65,180.85,175.96,177.09,1711812,408807819.0,177.09,0.25
2020-11-26,AAPL,Technology,NASDAQ,177.09,181.42,169.88,174.7,9713332,388847471.0,174.7,-1.35
2020-11-27,AAPL,Technology,NASDAQ,174.7,188.62,171.98,184.29,10556361,1523229331.0,184.29,5.49
2020-11-30,AAPL,Technology,NASDAQ,184.29,192.94,179.09,192.47,3984453,1026973307.0,192.47,4.44
2020-12-01,AAPL,Technology,NASDAQ,192.47,196.03,187.38,191.23,28449936,1367850531.0,191.23,-0.65
2020-12-02,AAPL,Technology,NASDAQ,191.23,195.76,184.58,186.49,1925510,1400982389.0,186.49,-2.48
