date,location,climate_zone,temperature,rainfall,humidity,wind_speed,air_quality_index
2020-10-21,New York,Temperate,2.1,2.5,44.2,3.9,167
2020-10-28,New York,Temperate,8.1,0.9,74.7,12.8,147
2020-11-04,New York,Temperate,4.2,0.9,45.9,2.8,57
2020-11-11,New York,Temperate,8.0,7.7,59.2,23.7,46
2020-11-18,New York,Temperate,8.4,1.7,59.6,2.2,80
2020-11-25,New York,Temperate,13.7,1.4,64.3,14.6,36
2020-12-02,New York,Temperate,10.3,0.7,83.0,13.8,56
2020-12-09,New York,Temperate,12.0,5.3,55.7,34.0,118
2020-12-16,New York,Temperate,9.8,0.6,59.1,4.7,73
2020-12-23,New York,Temperate,12.0,2.4,64.2,1.0,51
2020-12-30,New York,Temperate,11.6,0.6,47.7,3.9,123
2021-01-06,New York,Temperate,20.2,2.4,72.1,4.5,189
2021-01-13,New York,Temperate,18.8,4.0,84.8,7.2,76
2021-01-20,New York,Temperate,19.9,2.0,41.7,0.7,163
2021-01-27,New York,Temperate,19.7,1.2,70.3,4.0,82
2021-02-03,New York,Temperate,19.3,8.0,80.3,19.7,68
2021-02-10,New York,Temperate,18.8,1.5,76.2,2.4,24
2021-02-17,New York,Temperate,21.3,1.2,80.5,2.2,113
2021-02-24,New York,Temperate,29.5,2.6,88.6,7.3,177
2021-03-03,New York,Temperate,25.7,0.1,53.9,5.7,77
2021-03-10,New York,Temperate,22.0,0.4,39.4,2.9,145
2021-03-17,New York,Temperate,29.6,0.2,41.0,27.3,148
2021-03-24,New York,Temperate,31.3,1.1,44.9,4.4,105
2021-03-31,New York,Temperate,28.1,0.0,37.0,0.5,113
2021-04-07,New York,Temperate,26.3,1.3,35.9,6.8,58
2021-04-14,New York,Temperate,27.1,0.9,57.9,10.5,29
2021-04-21,New York,Temperate,24.4,1.6,71.0,9.6,99
2021-04-28,New York,Temperate,26.2,2.1,31.6,8.8,103
2021-05-05,New York,Temperate,17.7,2.1,57.5,7.9,120
2021-05-12,New York,Temperate,26.5,2.0,79.2,10.5,62
2021-05-19,New York,Temperate,22.7,0.1,49.1,18.6,109
2021-05-26,New York,Temperate,19.0,0.8,45.6,6.9,77
2021-06-02,New York,Temperate,22.7,4.2,74.1,16.3,183
2021-06-09,New York,Temperate,23.1,0.4,75.0,16.4,196
2021-06-16,New York,Temperate,15.8,0.6,64.8,20.2,56
2021-06-23,New York,Temperate,17.6,0.5,70.8,13.5,118
2021-06-30,New York,Temperate,19.2,0.8,83.7,4.9,159
2021-07-07,New York,Temperate,14.1,6.4,80.8,4.4,47
2021-07-14,New York,Temperate,18.6,1.2,47.6,4.0,142
2021-07-21,New York,Temperate,14.9,0.5,86.8,15.2,58
2021-07-28,New York,Temperate,10.6,0.1,63.0,5.8,94
2021-08-04,New York,Temperate,6.9,0.2,38.6,14.3,164
2021-08-11,New York,Temperate,7.3,3.5,72.4,0.8,184
2021-08-18,New York,Temperate,8.3,0.5,64.9,19.9,105
2021-08-25,New York,Temperate,4.8,3.0,63.5,5.5,109
2021-09-01,New York,Temperate,5.6,0.8,56.1,2.9,145
2021-09-08,New York,Temperate,6.7,2.7,65.0,32.7,132
2021-09-15,New York,Temperate,2.9,0.2,61.7,5.7,77
2021-09-22,New York,Temperate,5.8,0.2,63.2,34.8,165
2021-09-29,New York,Temperate,5.0,0.4,43.0,3.5,20
2021-10-06,New York,Temperate,8.6,4.6,32.7,3.3,35
2021-10-13,New York,Temperate,10.7,4.4,57.3,9.7,27
2021-10-20,New York,Temperate,6.9,1.0,43.8,3.1,120
2021-10-27,New York,Temperate,2.9,7.3,89.2,12.0,164
2021-11-03,New York,Temperate,4.7,1.8,46.3,1.4,54
2021-11-10,New York,Temperate,2.5,3.5,87.0,12.9,66
2021-11-17,New York,Temperate,8.6,0.4,54.7,15.0,165
2021-11-24,New York,Temperate,12.2,8.7,39.0,9.0,82
2021-12-01,New York,Temperate,13.5,1.7,33.8,0.4,148
2021-12-08,New York,Temperate,10.0,0.0,34.5,11.8,114
2021-12-15,New York,Temperate,13.2,1.8,73.6,14.2,102
2021-12-22,New York,Temperate,14.0,0.6,57.0,1.4,70
2021-12-29,New York,Temperate,12.0,4.2,75.4,0.5,114
2022-01-05,New York,Temperate,13.8,0.2,70.3,7.3,137
2022-01-12,New York,Temperate,15.5,3.4,88.1,0.9,76
2022-01-19,New York,Temperate,20.9,1.8,58.8,5.5,104
2022-01-26,New York,Temperate,22.8,4.7,67.0,39.4,69
2022-02-02,New York,Temperate,22.0,1.8,53.5,5.8,71
2022-02-09,New York,Temperate,15.3,4.8,47.9,7.4,100
2022-02-16,New York,Temperate,28.1,6.0,38.8,26.1,93
2022-02-23,New York,Temperate,23.4,0.9,42.5,8.7,134
2022-03-02,New York,Temperate,22.2,1.5,57.6,8.8,137
2022-03-09,New York,Temperate,21.5,2.4,54.7,20.7,174
2022-03-16,New York,Temperate,26.3,2.2,40.3,2.1,166
2022-03-23,New York,Temperate,23.4,0.9,31.9,8.0,152
2022-03-30,New York,Temperate,28.1,1.2,42.4,4.5,97
2022-04-06,New York,Temperate,21.3,0.2,58.9,11.6,75
2022-04-13,New York,Temperate,21.3,4.1,85.3,0.6,45
2022-04-20,New York,Temperate,25.0,1.5,85.4,2.7,47
2022-04-27,New York,Temperate,24.1,0.9,57.8,13.8,33
2022-05-04,New York,Temperate,26.1,2.8,31.8,20.2,57
2022-05-11,New York,Temperate,24.2,1.5,44.5,3.1,47
2022-05-18,New York,Temperate,20.0,0.3,83.4,9.0,87
2022-05-25,New York,Temperate,17.8,0.9,68.9,6.5,130
2022-06-01,New York,Temperate,21.2,1.8,63.9,4.8,120
2022-06-08,New York,Temperate,23.9,0.9,68.8,8.5,78
2022-06-15,New York,Temperate,17.9,0.5,36.1,1.7,131
2022-06-22,New York,Temperate,17.0,0.4,41.2,3.4,114
2022-06-29,New York,Temperate,16.0,5.0,30.3,36.9,113
2022-07-06,New York,Temperate,16.9,0.4,70.1,26.5,98
2022-07-13,New York,Temperate,7.8,3.6,42.3,34.4,87
2022-07-20,New York,Temperate,19.7,1.1,60.5,2.8,66
2022-07-27,New York,Temperate,13.7,0.2,60.4,26.9,96
2022-08-03,New York,Temperate,12.0,1.5,33.1,4.1,29
2022-08-10,New York,Temperate,14.7,0.5,71.1,0.9,82
2022-08-17,New York,Temperate,13.8,2.3,75.6,9.1,171
2022-08-24,New York,Temperate,10.9,0.2,81.0,13.7,197
2022-08-31,New York,Temperate,7.8,0.3,73.9,27.9,95
2022-09-07,New York,Temperate,7.8,2.6,32.9,15.2,30
2022-09-14,New York,Temperate,4.8,3.2,42.1,1.8,184
2022-09-21,New York,Temperate,6.8,1.5,51.5,21.0,108
2022-09-28,New York,Temperate,8.1,2.3,57.1,12.5,51
2022-10-05,New York,Temperate,-0.6,2.8,60.2,2.6,72
2022-10-12,New York,Temperate,4.1,4.7,67.5,1.2,153
2022-10-19,New York,Temperate,9.1,2.4,40.0,21.1,52
2022-10-26,New York,Temperate,3.3,1.5,83.6,15.5,57
2022-11-02,New York,Temperate,9.0,3.0,38.6,2.3,85
2022-11-09,New York,Temperate,10.2,2.9,82.6,4.2,57
2022-11-16,New York,Temperate,1.3,1.2,66.2,7.0,155
2022-11-23,New York,Temperate,10.9,0.3,43.8,12.8,149
2022-11-30,New York,Temperate,10.0,1.7,73.0,9.1,167
2022-12-07,New York,Temperate,10.6,0.4,84.5,8.8,42
2022-12-14,New York,Temperate,14.1,0.3,65.2,7.0,130
2022-12-21,New York,Temperate,13.1,2.6,65.6,1.1,87
2022-12-28,New York,Temperate,18.1,0.9,34.1,0.8,59
2023-01-04,New York,Temperate,17.7,3.7,84.6,1.3,120
2023-01-11,New York,Temperate,17.0,1.8,53.9,0.6,156
2023-01-18,New York,Temperate,21.3,0.5,77.3,9.3,54
2023-01-25,New York,Temperate,21.7,5.0,50.8,4.3,181
2023-02-01,New York,Temperate,13.3,5.0,65.2,0.3,198
2023-02-08,New York,Temperate,22.6,0.4,32.0,3.7,48
2023-02-15,New York,Temperate,17.5,1.7,67.9,0.1,68
2023-02-22,New York,Temperate,22.1,0.2,89.8,7.0,20
2023-03-01,New York,Temperate,20.3,0.7,53.8,5.6,81
2023-03-08,New York,Temperate,22.4,0.1,58.3,8.3,37
2023-03-15,New York,Temperate,22.9,0.7,72.8,7.5,132
2023-03-22,New York,Temperate,28.6,0.3,40.9,19.8,122
2023-03-29,New York,Temperate,18.8,2.8,46.3,22.8,181
2023-04-05,New York,Temperate,23.9,0.3,73.0,10.8,84
2023-04-12,New York,Temperate,24.6,1.6,45.2,2.2,91
2023-04-19,New York,Temperate,24.8,0.4,69.2,2.7,181
2023-04-26,New York,Temperate,23.7,3.3,89.3,9.2,65
2023-05-03,New York,Temperate,22.5,2.2,42.3,3.5,195
2023-05-10,New York,Temperate,26.3,0.2,68.0,13.3,104
2023-05-17,New York,Temperate,17.0,4.5,79.0,4.2,149
2023-05-24,New York,Temperate,26.4,0.9,32.1,17.8,56
2023-05-31,New York,Temperate,23.9,1.1,47.7,29.7,105
2023-06-07,New York,Temperate,12.6,3.0,36.9,8.3,78
2023-06-14,New York,Temperate,18.3,1.1,31.3,3.1,59
2023-06-21,New York,Temperate,17.2,2.4,54.2,2.5,41
2023-06-28,New York,Temperate,11.7,0.6,31.1,24.6,104
2023-07-05,New York,Temperate,14.7,3.4,59.9,0.7,184
2023-07-12,New York,Temperate,16.3,0.5,30.7,1.5,76
2023-07-19,New York,Temperate,13.5,0.6,73.9,2.9,72
2023-07-26,New York,Temperate,5.4,1.5,32.8,1.8,126
2023-08-02,New York,Temperate,6.0,0.4,35.4,14.7,48
2023-08-09,New York,Temperate,4.3,0.9,73.1,3.5,73
2023-08-16,New York,Temperate,5.5,1.3,69.8,27.6,88
2023-08-23,New York,Temperate,1.9,1.6,39.7,18.4,100
2023-08-30,New York,Temperate,6.1,1.4,65.8,4.1,173
2023-09-06,New York,Temperate,-0.5,0.9,54.8,12.2,123
2023-09-13,New York,Temperate,4.4,1.1,44.8,17.1,127
2023-09-20,New York,Temperate,1.9,1.8,51.7,1.0,68
2023-09-27,New York,Temperate,7.8,0.3,87.0,5.9,66
2023-10-04,New York,Temperate,7.1,2.8,73.4,10.1,44
2023-10-11,New York,Temperate,9.0,4.7,68.8,11.8,128
2023-10-18,New York,Temperate,4.5,1.8,90.0,8.1,105
2023-10-25,New York,Temperate,6.2,4.9,32.0,12.0,156
2023-11-01,New York,Temperate,5.8,1.1,77.7,13.7,135
2023-11-08,New York,Temperate,6.6,3.7,49.1,17.7,36
2023-11-15,New York,Temperate,4.1,1.6,58.9,21.6,190
2023-11-22,New York,Temperate,13.0,0.8,73.5,0.7,34
2023-11-29,New York,Temperate,10.3,2.2,74.3,7.3,189
2023-12-06,New York,Temperate,15.0,4.2,55.1,6.2,53
2023-12-13,New York,Temperate,14.1,3.2,89.9,4.3,81
2023-12-20,New York,Temperate,13.3,1.3,67.7,20.7,140
2023-12-27,New York,Temperate,13.0,1.1,74.3,2.7,22
2024-01-03,New York,Temperate,19.9,1.3,47.8,19.2,165
2024-01-10,New York,Temperate,10.9,2.3,43.1,29.9,80
2024-01-17,New York,Temperate,14.3,0.6,65.3,40.4,82
2024-01-24,New York,Temperate,18.9,1.9,40.0,47.3,78
2024-01-31,New York,Temperate,22.1,1.0,80.3,2.6,129
2024-02-07,New York,Temperate,19.2,0.5,41.2,15.1,25
2024-02-14,New York,Temperate,20.4,3.2,67.8,2.4,28
2024-02-21,New York,Temperate,21.7,2.8,71.8,1.7,179
2024-02-28,New York,Temperate,20.0,1.2,67.4,13.8,108
2024-03-06,New York,Temperate,28.7,0.2,82.6,3.1,48
2024-03-13,New York,Temperate,29.9,4.4,87.3,19.8,28
2024-03-20,New York,Temperate,26.3,2.7,46.9,2.9,57
2024-03-27,New York,Temperate,24.4,0.6,73.4,6.8,56
2024-04-03,New York,Temperate,27.1,0.2,81.1,6.8,81
2024-04-10,New York,Temperate,21.7,1.8,79.5,4.3,117
2024-04-17,New York,Temperate,27.9,2.6,61.3,20.3,111
2024-04-24,New York,Temperate,24.6,3.8,82.0,12.3,126
2024-05-01,New York,Temperate,24.6,0.4,82.9,32.5,50
2024-05-08,New York,Temperate,21.1,3.5,37.7,4.1,177
2024-05-15,New York,Temperate,26.9,0.6,41.6,0.9,174
2024-05-22,New York,Temperate,22.3,7.9,67.9,3.0,107
2024-05-29,New York,Temperate,19.6,0.7,31.1,5.7,82
2024-06-05,New York,Temperate,19.8,1.0,40.8,14.0,41
2024-06-12,New York,Temperate,18.7,0.1,48.1,12.3,169
2024-06-19,New York,Temperate,18.2,2.5,58.4,0.6,139
2024-06-26,New York,Temperate,14.1,2.8,31.5,0.2,153
2024-07-03,New York,Temperate,15.7,0.9,79.1,2.9,45
2024-07-10,New York,Temperate,13.0,5.8,36.1,19.3,34
2024-07-17,New York,Temperate,8.5,3.2,71.6,2.5,149
2024-07-24,New York,Temperate,8.9,0.3,82.1,33.0,111
2024-07-31,New York,Temperate,12.2,2.6,84.6,19.5,103
2024-08-07,New York,Temperate,4.4,8.3,54.6,22.5,34
2024-08-14,New York,Temperate,6.0,2.7,42.0,20.3,43
2024-08-21,New York,Temperate,10.1,1.3,88.1,2.1,164
2024-08-28,New York,Temperate,5.5,0.2,39.2,6.0,69
2024-09-04,New York,Temperate,7.9,0.3,32.0,25.4,150
2024-09-11,New York,Temperate,9.5,0.4,57.7,0.0,36
2024-09-18,New York,Temperate,0.9,1.6,43.5,1.8,136
2024-09-25,New York,Temperate,6.9,1.8,56.0,41.6,91
2024-10-02,New York,Temperate,10.9,1.0,88.5,12.8,30
2024-10-09,New York,Temperate,4.0,2.4,81.6,15.1,155
2024-10-16,New York,Temperate,8.2,0.3,36.2,8.5,99
2024-10-23,New York,Temperate,8.3,1.3,42.6,4.2,187
2024-10-30,New York,Temperate,3.7,0.9,32.0,0.8,169
2024-11-06,New York,Temperate,7.1,0.8,88.6,2.2,141
2024-11-13,New York,Temperate,6.1,0.4,36.3,10.1,142
2024-11-20,New York,Temperate,10.4,0.1,86.2,0.5,179
2024-11-27,New York,Temperate,10.7,5.9,67.5,15.3,130
2024-12-04,New York,Temperate,10.2,3.4,34.8,22.5,151
2024-12-11,New York,Temperate,15.8,1.3,32.4,1.8,33
2024-12-18,New York,Temperate,14.3,0.2,33.6,2.8,160
2024-12-25,New York,Temperate,21.2,0.8,58.2,13.6,138
2020-01-01,London,Temperate,10.9,1.1,32.6,1.8,165
2020-01-08,London,Temperate,9.4,1.6,59.6,0.9,54
2020-01-15,London,Temperate,18.1,0.5,55.1,2.3,154
2020-01-22,London,Temperate,19.0,2.6,74.6,5.5,23
2020-01-29,London,Temperate,16.5,2.7,76.1,7.0,69
2020-02-05,London,Temperate,18.5,1.2,73.5,6.7,85
2020-02-12,London,Temperate,21.9,1.8,77.6,10.6,134
2020-02-19,London,Temperate,16.9,1.0,57.9,18.1,118
2020-02-26,London,Temperate,16.2,3.0,54.3,9.2,61
2020-03-04,London,Temperate,21.9,1.4,44.8,20.5,130
2020-03-11,London,Temperate,20.5,1.8,64.8,10.9,89
2020-03-18,London,Temperate,17.8,1.0,81.5,0.1,187
2020-03-25,London,Temperate,25.2,1.8,53.8,2.7,50
2020-04-01,London,Temperate,22.2,0.8,79.7,5.6,39
2020-04-08,London,Temperate,18.1,1.8,86.9,2.9,137
2020-04-15,London,Temperate,24.2,1.3,80.7,16.4,175
2020-04-22,London,Temperate,25.0,4.0,63.5,7.8,167
2020-04-29,London,Temperate,20.6,1.5,86.2,0.4,138
2020-05-06,London,Temperate,20.1,0.5,40.8,0.9,180
2020-05-13,London,Temperate,17.6,0.3,89.2,33.6,62
2020-05-20,London,Temperate,18.6,0.0,49.4,36.2,58
2020-05-27,London,Temperate,20.6,1.3,70.0,1.5,147
2020-06-03,London,Temperate,7.9,0.3,38.6,28.1,143
2020-06-10,London,Temperate,16.3,1.2,82.1,1.9,53
2020-06-17,London,Temperate,12.4,2.2,88.7,4.7,177
2020-06-24,London,Temperate,20.3,4.1,64.2,0.3,91
2020-07-01,London,Temperate,11.7,3.2,85.1,9.2,50
2020-07-08,London,Temperate,7.4,2.1,36.4,10.7,82
2020-07-15,London,Temperate,14.4,7.6,54.4,20.5,92
2020-07-22,London,Temperate,7.6,0.2,69.0,14.5,151
2020-07-29,London,Temperate,5.8,2.2,78.5,14.4,42
2020-08-05,London,Temperate,10.1,0.3,62.7,0.1,162
2020-08-12,London,Temperate,4.5,2.0,66.6,8.3,166
2020-08-19,London,Temperate,1.5,0.5,52.4,2.6,30
2020-08-26,London,Temperate,-2.7,1.8,70.1,9.7,193
2020-09-02,London,Temperate,12.5,6.1,80.8,24.6,173
2020-09-09,London,Temperate,2.7,0.2,38.9,7.5,63
2020-09-16,London,Temperate,-5.0,1.6,74.8,12.6,190
2020-09-23,London,Temperate,0.5,0.0,41.7,0.1,66
2020-09-30,London,Temperate,-1.6,0.4,58.8,2.2,97
2020-10-07,London,Temperate,6.7,1.3,45.4,3.4,46
2020-10-14,London,Temperate,2.5,1.7,35.4,12.6,21
2020-10-21,London,Temperate,5.0,0.6,54.8,1.3,26
2020-10-28,London,Temperate,0.3,1.5,72.5,1.1,189
2020-11-04,London,Temperate,5.4,0.4,85.1,5.5,137
2020-11-11,London,Temperate,5.2,0.1,68.0,30.2,138
2020-11-18,London,Temperate,9.5,2.0,60.9,9.0,45
2020-11-25,London,Temperate,7.8,1.1,80.4,23.0,68
2020-12-02,London,Temperate,3.5,0.5,76.8,3.2,38
2020-12-09,London,Temperate,9.8,3.3,76.0,1.6,88
2020-12-16,London,Temperate,12.3,0.4,74.2,19.9,138
2020-12-23,London,Temperate,6.9,0.7,43.8,2.3,30
2020-12-30,London,Temperate,12.4,0.5,53.5,9.0,172
2021-01-06,London,Temperate,10.6,1.1,73.1,11.8,43
2021-01-13,London,Temperate,19.1,0.3,36.2,12.9,61
2021-01-20,London,Temperate,15.9,0.6,68.7,9.1,92
2021-01-27,London,Temperate,17.2,0.8,43.6,4.4,32
2021-02-03,London,Temperate,15.2,3.2,44.0,7.8,69
2021-02-10,London,Temperate,18.6,2.3,43.8,6.1,105
2021-02-17,London,Temperate,21.4,2.6,57.9,0.6,63
2021-02-24,London,Temperate,26.0,0.2,87.7,10.1,66
2021-03-03,London,Temperate,21.3,0.2,57.0,14.1,164
2021-03-10,London,Temperate,17.0,0.7,88.9,6.4,49
2021-03-17,London,Temperate,20.1,0.3,89.5,26.2,127
2021-03-24,London,Temperate,17.7,0.6,70.3,1.0,169
2021-03-31,London,Temperate,22.6,0.3,79.6,15.2,161
2021-04-07,London,Temperate,21.0,0.3,43.6,4.2,124
2021-04-14,London,Temperate,16.3,1.0,56.8,9.2,74
2021-04-21,London,Temperate,23.0,0.4,77.2,8.5,79
2021-04-28,London,Temperate,19.8,5.3,37.0,17.0,54
2021-05-05,London,Temperate,21.8,2.2,61.9,12.8,86
2021-05-12,London,Temperate,17.6,0.2,54.2,1.9,149
2021-05-19,London,Temperate,21.8,0.5,87.4,8.5,29
2021-05-26,London,Temperate,17.2,4.0,85.4,6.7,129
2021-06-02,London,Temperate,17.5,4.6,79.8,3.8,188
2021-06-09,London,Temperate,17.3,0.3,58.7,7.1,98
2021-06-16,London,Temperate,17.6,6.6,63.0,33.8,115
2021-06-23,London,Temperate,15.4,4.2,46.7,19.1,179
2021-06-30,London,Temperate,12.7,0.5,67.2,10.5,50
2021-07-07,London,Temperate,9.0,10.5,33.5,11.9,102
2021-07-14,London,Temperate,9.7,0.4,34.5,15.3,134
2021-07-21,London,Temperate,10.4,1.9,68.0,2.6,120
2021-07-28,London,Temperate,4.8,1.9,48.4,9.8,143
2021-08-04,London,Temperate,8.0,3.1,54.3,10.6,26
2021-08-11,London,Temperate,7.8,1.5,58.9,1.9,105
2021-08-18,London,Temperate,4.0,3.1,64.9,11.4,139
2021-08-25,London,Temperate,0.8,1.5,42.9,0.1,101
2021-09-01,London,Temperate,-0.9,2.1,60.0,3.1,136
2021-09-08,London,Temperate,0.5,1.3,39.0,3.9,101
2021-09-15,London,Temperate,-4.5,1.0,57.6,15.4,160
2021-09-22,London,Temperate,0.8,0.3,36.1,10.7,188
2021-09-29,London,Temperate,0.2,0.6,80.5,0.4,40
2021-10-06,London,Temperate,7.5,3.5,59.7,4.9,196
2021-10-13,London,Temperate,0.3,1.5,39.0,13.4,106
2021-10-20,London,Temperate,3.0,2.3,32.5,0.9,62
2021-10-27,London,Temperate,6.3,0.2,32.1,7.1,77
2021-11-03,London,Temperate,5.3,1.2,89.5,35.3,154
2021-11-10,London,Temperate,2.5,1.1,63.0,17.8,27
2021-11-17,London,Temperate,8.7,0.6,31.3,0.9,100
2021-11-24,London,Temperate,9.0,2.0,52.9,2.3,68
2021-12-01,London,Temperate,4.8,0.6,45.6,0.7,141
2021-12-08,London,Temperate,11.0,0.8,37.5,6.4,21
2021-12-15,London,Temperate,9.1,1.8,64.9,13.8,51
2021-12-22,London,Temperate,7.2,0.1,36.6,9.1,172
2021-12-29,London,Temperate,12.7,0.9,63.0,4.9,133
2022-01-05,London,Temperate,12.2,4.4,68.7,3.4,51
2022-01-12,London,Temperate,13.2,0.8,82.8,3.0,194
2022-01-19,London,Temperate,17.7,1.2,80.5,13.0,154
2022-01-26,London,Temperate,13.9,0.4,33.2,3.9,169
2022-02-02,London,Temperate,18.6,3.4,42.8,7.0,107
2022-02-09,London,Temperate,16.4,0.8,54.8,14.2,116
2022-02-16,London,Temperate,13.5,1.7,71.3,20.7,130
2022-02-23,London,Temperate,20.2,4.2,56.0,1.8,163
2022-03-02,London,Temperate,22.5,4.3,46.7,2.2,83
2022-03-09,London,Temperate,23.5,3.2,42.2,8.1,147
2022-03-16,London,Temperate,22.9,2.3,52.5,7.7,183
2022-03-23,London,Temperate,25.4,0.0,75.7,0.4,33
2022-03-30,London,Temperate,24.5,2.3,75.4,18.4,89
2022-04-06,London,Temperate,24.4,4.2,89.8,4.6,144
2022-04-13,London,Temperate,25.4,0.5,38.3,10.9,73
2022-04-20,London,Temperate,23.3,2.4,30.2,9.7,23
2022-04-27,London,Temperate,19.8,1.0,82.5,7.1,22
2022-05-04,London,Temperate,16.9,0.1,64.8,8.2,151
2022-05-11,London,Temperate,19.7,1.8,66.1,0.2,166
2022-05-18,London,Temperate,16.9,1.4,34.6,0.6,128
2022-05-25,London,Temperate,19.7,1.5,52.4,1.3,132
2022-06-01,London,Temperate,15.5,1.1,35.3,2.5,66
2022-06-08,London,Temperate,12.9,2.0,77.1,1.3,66
2022-06-15,London,Temperate,20.4,3.7,53.0,8.5,163
2022-06-22,London,Temperate,14.5,7.8,39.9,12.0,113
2022-06-29,London,Temperate,8.3,3.6,46.4,7.3,128
2022-07-06,London,Temperate,10.0,0.9,57.7,6.6,168
2022-07-13,London,Temperate,11.6,1.2,59.0,1.4,23
2022-07-20,London,Temperate,9.2,0.0,33.4,2.6,127
2022-07-27,London,Temperate,8.2,0.3,75.1,10.7,55
2022-08-03,London,Temperate,3.8,3.1,88.5,4.6,125
2022-08-10,London,Temperate,2.9,3.7,46.1,1.7,126
2022-08-17,London,Temperate,5.1,1.1,50.8,23.0,179
2022-08-24,London,Temperate,0.6,2.2,87.8,8.2,168
2022-08-31,London,Temperate,3.0,0.6,73.8,39.8,101
2022-09-07,London,Temperate,1.0,0.3,73.5,2.1,68
2022-09-14,London,Temperate,3.8,1.9,51.0,1.2,197
2022-09-21,London,Temperate,2.0,2.5,55.1,0.9,105
2022-09-28,London,Temperate,5.1,0.2,81.6,12.8,188
2022-10-05,London,Temperate,10.0,3.1,62.9,9.5,117
2022-10-12,London,Temperate,-1.6,5.8,81.0,11.1,117
2022-10-19,London,Temperate,2.3,4.0,57.6,13.8,95
2022-10-26,London,Temperate,3.0,3.3,57.6,0.5,82
2022-11-02,London,Temperate,1.3,1.4,50.4,20.6,173
2022-11-09,London,Temperate,7.7,1.5,42.3,21.0,135
2022-11-16,London,Temperate,2.7,4.1,44.3,6.0,77
2022-11-23,London,Temperate,7.0,1.6,35.6,4.2,63
2022-11-30,London,Temperate,11.7,1.5,59.9,1.1,199
2022-12-07,London,Temperate,1.4,0.2,56.5,2.2,31
2022-12-14,London,Temperate,6.0,1.5,47.2,15.7,183
2022-12-21,London,Temperate,7.5,2.1,41.8,22.7,61
2022-12-28,London,Temperate,8.1,1.2,63.5,1.8,99
2023-01-04,London,Temperate,11.7,0.4,83.6,10.6,126
2023-01-11,London,Temperate,12.7,0.8,77.9,34.3,38
2023-01-18,London,Temperate,15.6,1.4,88.0,5.4,138
2023-01-25,London,Temperate,16.9,0.3,73.5,3.9,175
2023-02-01,London,Temperate,16.7,0.4,30.8,8.2,116
2023-02-08,London,Temperate,21.2,0.1,79.4,2.4,152
2023-02-15,London,Temperate,20.6,0.2,75.6,44.3,194
2023-02-22,London,Temperate,19.2,2.1,48.8,2.9,150
