year,country,continent,income_level,population,growth_rate,urban_percentage,life_expectancy,literacy_rate,gdp_per_capita
2009,India,Asia,Lower Middle Income,849228069,0.26,70.5,62.1,52.5,42743.0
2010,India,Asia,Lower Middle Income,953019637,1.39,71.4,78.2,97.8,41546.0
2011,India,Asia,Lower Middle Income,889352862,0.63,81.7,66.8,71.5,6737.0
2012,India,Asia,Lower Middle Income,789909990,-0.41,92.6,80.9,84.1,33012.0
2013,India,Asia,Lower Middle Income,841524393,0.11,40.2,66.3,76.9,57310.0
2014,India,Asia,Lower Middle Income,1066995980,1.81,48.2,83.9,86.2,44571.0
2015,India,Asia,Lower Middle Income,1059475189,1.64,57.3,66.2,67.4,60749.0
2016,India,Asia,Lower Middle Income,772221631,-0.45,37.5,61.2,52.0,68509.0
2017,India,Asia,Lower Middle Income,1154955863,1.96,60.8,62.4,74.1,38141.0
2018,India,Asia,Lower Middle Income,845967117,0.11,58.2,70.0,80.2,50990.0
2019,India,Asia,Lower Middle Income,777737933,-0.34,54.3,75.6,74.7,68591.0
2020,India,Asia,Lower Middle Income,1187063796,1.81,40.6,61.8,81.5,2608.0
2021,India,Asia,Lower Middle Income,1146444811,1.55,91.1,74.4,69.0,51641.0
2022,India,Asia,Lower Middle Income,1056690938,1.1,65.5,83.5,68.9,76915.0
2023,India,Asia,Lower Middle Income,1521015020,2.67,42.7,61.7,54.9,1949.0
2024,India,Asia,Lower Middle Income,796853660,-0.17,74.4,61.8,65.6,67668.0
2000,Brazil,South America,Upper Middle Income,109952217,0.38,46.9,72.4,84.0,28193.0
2001,Brazil,South America,Upper Middle Income,111483083,1.39,32.5,70.4,97.4,44064.0
2002,Brazil,South America,Upper Middle Income,111098473,0.52,67.0,74.4,85.9,10651.0
2003,Brazil,South America,Upper Middle Income,110696158,0.23,67.7,81.7,77.5,19468.0
2004,Brazil,South America,Upper Middle Income,114216274,0.96,78.1,66.0,68.5,42979.0
2005,Brazil,South America,Upper Middle Income,113539442,0.64,55.3,67.4,54.9,4752.0
2006,Brazil,South America,Upper Middle Income,119726483,1.43,85.1,68.9,96.9,54303.0
2007,Brazil,South America,Upper Middle Income,114816105,0.62,62.0,62.1,54.5,48394.0
2008,Brazil,South America,Upper Middle Income,116644490,0.74,43.8,83.7,88.3,9520.0
2009,Brazil,South America,Upper Middle Income,124415366,1.38,93.3,84.9,52.7,59094.0
2010,Brazil,South America,Upper Middle Income,118224789,0.73,75.9,84.2,83.7,67039.0
2011,Brazil,South America,Upper Middle Income,126376505,1.27,84.5,70.7,60.9,32034.0
2012,Brazil,South America,Upper Middle Income,128632874,1.32,39.5,72.8,61.4,46714.0
2013,Brazil,South America,Upper Middle Income,129510795,1.27,87.2,65.9,94.5,47555.0
2014,Brazil,South America,Upper Middle Income,116197193,0.4,76.0,72.0,68.5,56554.0
2015,Brazil,South America,Upper Middle Income,113685214,0.22,51.5,70.9,62.4,32714.0
2016,Brazil,South America,Upper Middle Income,124339136,0.77,78.2,79.2,90.3,59665.0
2017,Brazil,South America,Upper Middle Income,129294338,0.96,45.4,70.0,73.4,7090.0
2018,Brazil,South America,Upper Middle Income,124622653,0.7,58.4,80.1,97.9,44702.0
2019,Brazil,South America,Upper Middle Income,117467115,0.35,32.8,83.1,95.0,20613.0
2020,Brazil,South America,Upper Middle Income,133690472,0.98,34.9,64.2,60.6,23912.0
2021,Brazil,South America,Upper Middle Income,150090806,1.49,75.3,69.6,86.1,73263.0
2022,Brazil,South America,Upper Middle Income,150260889,1.43,33.8,69.9,55.2,27185.0
2023,Brazil,South America,Upper Middle Income,112211078,0.09,72.0,69.7,61.2,21642.0
2024,Brazil,South America,Upper Middle Income,121372334,0.41,46.9,71.3,51.6,22741.0
2000,Russia,Europe,Upper Middle Income,1357739347,0.82,47.6,63.3,53.7,75272.0
2001,Russia,Europe,Upper Middle Income,1364640551,0.51,67.8,83.0,54.1,70195.0
2002,Russia,Europe,Upper Middle Income,1377845304,0.74,40.7,70.3,88.1,38689.0
2003,Russia,Europe,Upper Middle Income,1418709274,1.47,54.5,78.7,69.3,66419.0
2004,Russia,Europe,Upper Middle Income,1399900858,0.77,34.1,60.9,56.6,1587.0
2005,Russia,Europe,Upper Middle Income,1352865992,-0.07,75.0,73.4,86.7,73097.0
2006,Russia,Europe,Upper Middle Income,1423783595,0.79,77.2,78.9,68.5,19666.0
2007,Russia,Europe,Upper Middle Income,1371923469,0.15,46.3,66.9,60.2,70319.0
2008,Russia,Europe,Upper Middle Income,1480387400,1.09,33.0,66.7,51.1,40104.0
2009,Russia,Europe,Upper Middle Income,1434067457,0.61,84.0,67.7,90.0,77454.0
2010,Russia,Europe,Upper Middle Income,1351005640,-0.05,81.5,74.7,73.5,33933.0
2011,Russia,Europe,Upper Middle Income,1537030244,1.13,71.6,80.1,94.3,49572.0
2012,Russia,Europe,Upper Middle Income,1616974928,1.47,69.5,75.9,77.2,7735.0
2013,Russia,Europe,Upper Middle Income,1552184748,1.03,65.6,71.3,94.6,24188.0
2014,Russia,Europe,Upper Middle Income,1494970613,0.69,75.3,79.9,72.5,67446.0
2015,Russia,Europe,Upper Middle Income,1601566916,1.11,34.3,61.1,80.4,28119.0
2016,Russia,Europe,Upper Middle Income,1391921709,0.16,67.7,68.5,76.3,37079.0
2017,Russia,Europe,Upper Middle Income,1553150251,0.79,56.0,77.4,58.8,55872.0
2018,Russia,Europe,Upper Middle Income,1485223562,0.5,86.8,72.9,97.7,48354.0
2019,Russia,Europe,Upper Middle Income,1405078806,0.18,83.4,68.6,67.0,3028.0
2020,Russia,Europe,Upper Middle Income,1571216039,0.73,64.7,68.9,93.8,10735.0
2021,Russia,Europe,Upper Middle Income,1464523541,0.36,50.9,62.3,73.6,55179.0
2022,Russia,Europe,Upper Middle Income,1572535787,0.67,40.2,69.4,50.1,69530.0
2023,Russia,Europe,Upper Middle Income,1340259929,-0.06,68.8,84.7,76.3,73961.0
2024,Russia,Europe,Upper Middle Income,1424909081,0.2,79.4,73.3,85.3,5456.0
2000,Japan,Asia,High Income,644534586,0.23,76.4,82.4,75.1,42803.0
2001,Japan,Asia,High Income,644419809,-0.02,59.1,73.3,61.9,21905.0
2002,Japan,Asia,High Income,650236875,0.44,31.3,68.1,60.4,26536.0
2003,Japan,Asia,High Income,644604113,0.0,87.9,74.8,83.3,63239.0
2004,Japan,Asia,High Income,661386970,0.65,35.6,73.4,78.8,59762.0
2005,Japan,Asia,High Income,661922551,0.53,38.3,67.1,67.8,51850.0
2006,Japan,Asia,High Income,674904204,0.77,53.1,84.7,79.7,19360.0
2007,Japan,Asia,High Income,643318762,-0.03,39.9,66.1,57.9,15332.0
2008,Japan,Asia,High Income,659359609,0.28,41.3,82.4,53.9,42199.0
2009,Japan,Asia,High Income,673985172,0.5,93.9,62.8,69.5,77573.0
2010,Japan,Asia,High Income,731328907,1.27,83.1,66.4,58.4,53657.0
2011,Japan,Asia,High Income,749408330,1.38,66.2,74.3,63.7,61675.0
2012,Japan,Asia,High Income,653718653,0.12,51.0,70.6,74.9,19772.0
2013,Japan,Asia,High Income,644134404,-0.0,69.7,67.2,78.5,12772.0
2014,Japan,Asia,High Income,702590087,0.62,64.6,61.3,66.5,11186.0
2015,Japan,Asia,High Income,635672004,-0.09,94.3,68.1,89.7,20744.0
2016,Japan,Asia,High Income,750820663,0.96,79.4,74.9,73.1,33241.0
2017,Japan,Asia,High Income,688985636,0.39,90.4,80.8,97.3,10382.0
2018,Japan,Asia,High Income,776815288,1.04,91.0,64.5,53.3,59419.0
2019,Japan,Asia,High Income,746587848,0.78,84.7,63.5,89.0,16529.0
2020,Japan,Asia,High Income,654692323,0.08,40.7,80.4,82.6,42084.0
2021,Japan,Asia,High Income,702366208,0.41,87.0,69.8,90.0,35411.0
2022,Japan,Asia,High Income,710019607,0.44,60.1,67.5,86.6,40466.0
2023,Japan,Asia,High Income,674033681,0.19,88.5,69.6,76.6,72565.0
2024,Japan,Asia,High Income,791818861,0.86,37.6,83.5,80.8,27125.0
2000,Germany,Europe,High Income,608169023,0.08,87.1,72.4,86.3,46065.0
2001,Germany,Europe,High Income,617267702,1.5,78.9,77.7,88.2,11879.0
2002,Germany,Europe,High Income,609967195,0.15,76.4,72.3,87.0,8682.0
2003,Germany,Europe,High Income,621252563,0.71,54.6,71.4,79.6,40432.0
2004,Germany,Europe,High Income,625818766,0.72,61.6,70.2,87.8,1470.0
2005,Germany,Europe,High Income,633433080,0.82,66.8,77.9,79.4,66231.0
2006,Germany,Europe,High Income,662268078,1.43,52.3,65.7,70.8,23390.0
2007,Germany,Europe,High Income,645085695,0.85,89.3,63.5,54.9,20853.0
2008,Germany,Europe,High Income,660354497,1.03,68.5,62.6,95.0,63312.0
2009,Germany,Europe,High Income,599420672,-0.16,72.3,79.3,68.3,5979.0
2010,Germany,Europe,High Income,604012608,-0.07,36.8,81.0,94.6,10263.0
2011,Germany,Europe,High Income,621754344,0.2,40.8,64.7,91.0,26906.0
2012,Germany,Europe,High Income,632653253,0.33,44.8,75.2,68.6,59668.0
2013,Germany,Europe,High Income,620094241,0.15,81.2,75.1,55.6,33453.0
2014,Germany,Europe,High Income,725494970,1.27,90.0,71.6,73.6,73517.0
2015,Germany,Europe,High Income,685179016,0.8,32.1,82.8,62.2,46422.0
2016,Germany,Europe,High Income,616135661,0.08,32.2,67.8,88.2,22568.0
2017,Germany,Europe,High Income,626428839,0.17,43.8,72.9,97.8,36990.0
2018,Germany,Europe,High Income,695400545,0.75,85.9,73.4,59.0,24318.0
2019,Germany,Europe,High Income,647074331,0.33,55.8,70.7,89.2,28276.0
2020,Germany,Europe,High Income,684917134,0.6,70.6,69.4,91.0,47203.0
2021,Germany,Europe,High Income,647638427,0.3,76.4,73.2,76.2,38746.0
2022,Germany,Europe,High Income,700559816,0.64,79.7,62.6,66.4,6503.0
2023,Germany,Europe,High Income,778710276,1.08,47.7,82.4,75.8,64160.0
2024,Germany,Europe,High Income,862046407,1.46,84.6,81.7,70.0,44362.0
2000,United Kingdom,Europe,High Income,1100443074,0.19,73.7,60.5,55.1,64093.0
2001,United Kingdom,Europe,High Income,1101582317,0.1,72.4,66.0,54.9,19832.0
2002,United Kingdom,Europe,High Income,1123181225,1.03,85.6,80.8,69.5,53613.0
2003,United Kingdom,Europe,High Income,1105351947,0.15,49.1,82.4,50.6,7298.0
2004,United Kingdom,Europe,High Income,1107211239,0.15,31.7,64.5,78.6,34003.0
2005,United Kingdom,Europe,High Income,1174872679,1.32,83.1,68.5,62.7,30686.0
2006,United Kingdom,Europe,High Income,1154572706,0.8,47.4,75.6,70.1,44388.0
2007,United Kingdom,Europe,High Income,1142832378,0.54,49.1,83.7,87.4,11639.0
2008,United Kingdom,Europe,High Income,1217961252,1.28,61.7,82.4,89.2,34304.0
2009,United Kingdom,Europe,High Income,1084521530,-0.16,47.5,73.5,81.0,21002.0
2010,United Kingdom,Europe,High Income,1104511046,0.04,84.3,84.6,75.8,14149.0
2011,United Kingdom,Europe,High Income,1132691217,0.26,31.2,82.9,55.8,46333.0
2012,United Kingdom,Europe,High Income,1136073266,0.27,66.0,76.3,90.7,16910.0
2013,United Kingdom,Europe,High Income,1074786007,-0.18,38.9,82.5,92.8,47994.0
2014,United Kingdom,Europe,High Income,1233883832,0.82,73.2,64.4,94.8,33792.0
2015,United Kingdom,Europe,High Income,1177343816,0.45,63.7,61.2,58.1,59174.0
2016,United Kingdom,Europe,High Income,1090058453,-0.06,69.2,66.1,69.1,23451.0
2017,United Kingdom,Europe,High Income,1178642681,0.4,76.7,67.4,77.8,38346.0
2018,United Kingdom,Europe,High Income,1299559768,0.93,90.9,78.3,60.5,2979.0
2019,United Kingdom,Europe,High Income,1152999553,0.25,68.7,61.3,74.3,47949.0
2020,United Kingdom,Europe,High Income,1184381344,0.37,80.1,62.7,53.7,58391.0
2021,United Kingdom,Europe,High Income,1258816400,0.64,74.7,70.9,62.1,65619.0
2022,United Kingdom,Europe,High Income,1417972626,1.16,75.2,66.8,78.9,29197.0
2023,United Kingdom,Europe,High Income,1089282502,-0.04,89.6,63.4,96.6,35957.0
2024,United Kingdom,Europe,High Income,1131146076,0.11,65.2,81.8,85.9,64622.0
2000,France,Europe,High Income,691969366,1.03,71.4,84.5,94.3,51910.0
2001,France,Europe,High Income,698739579,0.98,33.4,76.7,52.2,47267.0
2002,France,Europe,High Income,712868701,1.5,66.1,71.8,65.3,10082.0
2003,France,Europe,High Income,713842194,1.04,42.5,62.9,70.7,63730.0
2004,France,Europe,High Income,721967517,1.07,33.6,71.4,75.6,51741.0
2005,France,Europe,High Income,723863076,0.91,53.7,74.0,73.6,70857.0
2006,France,Europe,High Income,721607820,0.7,58.7,70.1,78.0,64416.0
2007,France,Europe,High Income,727368511,0.72,73.0,78.4,75.5,34432.0
2008,France,Europe,High Income,766709414,1.29,57.1,71.5,98.5,519.0
2009,France,Europe,High Income,699183386,0.12,55.0,83.3,53.4,1254.0
2010,France,Europe,High Income,684365297,-0.11,35.8,60.9,73.5,46670.0
2011,France,Europe,High Income,712164909,0.26,55.9,62.3,66.5,42040.0
2012,France,Europe,High Income,783894637,1.04,30.2,71.7,64.6,68299.0
2013,France,Europe,High Income,789193814,1.02,68.3,66.9,94.6,4086.0
2014,France,Europe,High Income,690623518,-0.01,55.5,63.1,96.9,63940.0
2015,France,Europe,High Income,717332186,0.24,68.3,84.6,93.3,48263.0
2016,France,Europe,High Income,855716031,1.34,94.3,78.6,53.2,32426.0
2017,France,Europe,High Income,850997802,1.22,45.0,80.8,55.9,4232.0
2018,France,Europe,High Income,750612333,0.45,32.4,83.9,90.5,64161.0
2019,France,Europe,High Income,815861020,0.87,44.1,73.0,79.3,42240.0
2020,France,Europe,High Income,726299431,0.24,63.5,72.3,98.8,71846.0
2021,France,Europe,High Income,782588729,0.59,70.5,78.7,51.7,71646.0
2022,France,Europe,High Income,911864328,1.26,59.7,69.8,63.4,38396.0
2023,France,Europe,High Income,672414592,-0.12,85.4,60.9,66.1,74561.0
2024,France,Europe,High Income,889086901,1.05,48.3,66.3,50.2,55809.0
2000,Italy,Europe,High Income,219523887,0.64,35.3,65.5,83.5,6552.0
2001,Italy,Europe,High Income,222261463,1.25,62.2,72.0,79.0,66062.0
2002,Italy,Europe,High Income,221245134,0.39,74.1,74.1,63.1,70351.0
2003,Italy,Europe,High Income,227222789,1.16,72.8,81.3,92.5,56815.0
2004,Italy,Europe,High Income,230460911,1.22,75.3,77.0,80.3,60341.0
2005,Italy,Europe,High Income,220289209,0.07,87.3,81.8,51.4,66152.0
2006,Italy,Europe,High Income,219775301,0.02,51.8,78.6,57.9,65528.0
2007,Italy,Europe,High Income,238882738,1.21,63.0,60.2,64.1,49546.0
2008,Italy,Europe,High Income,246669328,1.47,71.1,66.5,81.1,43429.0
2009,Italy,Europe,High Income,242793518,1.13,37.0,79.0,76.5,77058.0
2010,Italy,Europe,High Income,228036762,0.38,71.1,83.3,55.0,75010.0
2011,Italy,Europe,High Income,244101015,0.97,34.4,67.5,84.7,5854.0
2012,Italy,Europe,High Income,241254312,0.79,52.5,75.5,52.2,69787.0
2013,Italy,Europe,High Income,264870063,1.45,93.0,78.7,56.4,60782.0
2014,Italy,Europe,High Income,214711485,-0.16,31.4,68.1,73.9,61747.0
2015,Italy,Europe,High Income,253410898,0.96,59.0,66.8,98.9,34381.0
2016,Italy,Europe,High Income,240322501,0.57,40.6,79.9,84.0,18051.0
2017,Italy,Europe,High Income,217297225,-0.06,74.2,76.4,63.4,76094.0
2018,Italy,Europe,High Income,221779104,0.06,58.1,83.6,70.6,51263.0
2019,Italy,Europe,High Income,240247479,0.48,47.8,84.6,70.1,71581.0
2020,Italy,Europe,High Income,228060104,0.19,43.9,60.8,81.9,29798.0
2021,Italy,Europe,High Income,286105081,1.27,60.8,84.2,59.1,69556.0
2022,Italy,Europe,High Income,280490015,1.12,80.1,81.1,87.3,50285.0
2023,Italy,Europe,High Income,220694012,0.02,32.1,83.0,80.2,63825.0
2024,Italy,Europe,High Income,254541751,0.62,37.6,63.1,83.6,34709.0
2000,Canada,North America,High Income,871247141,0.18,40.5,76.3,66.0,47426.0
2001,Canada,North America,High Income,875921551,0.54,94.0,63.7,72.8,54596.0
2002,Canada,North America,High Income,879498593,0.47,93.4,78.0,82.2,60686.0
2003,Canada,North America,High Income,908878428,1.42,89.0,78.1,86.7,12101.0
2004,Canada,North America,High Income,870367413,-0.03,67.1,60.5,73.6,17223.0
2005,Canada,North America,High Income,888291101,0.39,80.4,83.5,53.5,42972.0
2006,Canada,North America,High Income,941468802,1.3,35.4,80.6,67.5,26107.0
2007,Canada,North America,High Income,964397541,1.46,43.1,77.3,90.3,3774.0
2008,Canada,North America,High Income,938935812,0.94,91.9,63.1,93.9,47785.0
2009,Canada,North America,High Income,940060495,0.85,69.8,67.5,95.8,75814.0
2010,Canada,North America,High Income,949425629,0.86,80.9,75.3,73.7,53035.0
2011,Canada,North America,High Income,944860376,0.74,68.8,79.6,73.6,3740.0
2012,Canada,North America,High Income,879521360,0.08,58.5,78.1,79.1,52198.0
2013,Canada,North America,High Income,943504996,0.61,70.0,68.2,73.0,59670.0
2014,Canada,North America,High Income,1041358041,1.28,58.2,61.1,57.9,2158.0
2015,Canada,North America,High Income,998136137,0.91,51.6,73.6,74.2,6981.0
2016,Canada,North America,High Income,941453329,0.49,44.3,70.5,60.0,67316.0
2017,Canada,North America,High Income,885594973,0.1,92.5,70.4,91.5,50487.0
2018,Canada,North America,High Income,1051483533,1.05,79.9,72.6,76.6,41363.0
2019,Canada,North America,High Income,1013600592,0.8,31.9,69.9,79.7,48019.0
2020,Canada,North America,High Income,1094685943,1.15,72.6,84.8,63.9,29053.0
2021,Canada,North America,High Income,957901283,0.45,60.3,80.9,61.6,62192.0
2022,Canada,North America,High Income,969954808,0.49,69.1,75.8,68.3,41253.0
2023,Canada,North America,High Income,977630567,0.5,34.5,70.9,54.8,32699.0
2024,Canada,North America,High Income,1056859675,0.81,67.7,76.6,54.7,52344.0
2000,Australia,Oceania,High Income,1350665688,1.45,46.8,76.4,65.9,61991.0
2001,Australia,Oceania,High Income,1350969388,0.02,93.0,71.3,61.6,6343.0
2002,Australia,Oceania,High Income,1353059815,0.09,63.8,68.4,90.6,34756.0
2003,Australia,Oceania,High Income,1359714246,0.22,70.1,77.7,58.2,13826.0
2004,Australia,Oceania,High Income,1343243802,-0.14,77.9,76.6,73.3,67612.0
2005,Australia,Oceania,High Income,1431524794,1.17,68.0,81.7,60.1,9398.0
2006,Australia,Oceania,High Income,1371756464,0.26,33.7,73.3,95.9,3628.0
2007,Australia,Oceania,High Income,1351383162,0.01,59.4,83.3,65.5,40825.0
2008,Australia,Oceania,High Income,1336754666,-0.13,39.6,84.7,97.3,893.0
2009,Australia,Oceania,High Income,1533155934,1.42,71.5,81.7,72.3,41490.0
2010,Australia,Oceania,High Income,1438359488,0.63,73.3,63.5,51.5,24980.0
2011,Australia,Oceania,High Income,1506559746,1.0,43.1,76.8,97.5,7965.0
2012,Australia,Oceania,High Income,1511764802,0.94,58.8,81.7,58.7,55564.0
2013,Australia,Oceania,High Income,1582259454,1.22,91.4,77.1,74.4,49619.0
2014,Australia,Oceania,High Income,1613272670,1.28,67.1,60.8,95.6,55317.0
2015,Australia,Oceania,High Income,1556493858,0.95,44.0,76.5,69.3,52273.0
2016,Australia,Oceania,High Income,1346610365,-0.02,72.8,85.0,52.4,78185.0
2017,Australia,Oceania,High Income,1468129446,0.49,86.6,79.6,77.8,59207.0
2018,Australia,Oceania,High Income,1702215131,1.29,56.3,68.2,82.7,64724.0
2019,Australia,Oceania,High Income,1661437221,1.1,81.9,70.9,90.1,10057.0
2020,Australia,Oceania,High Income,1560802104,0.73,30.4,68.1,68.0,31996.0
2021,Australia,Oceania,High Income,1658432377,0.98,55.3,71.2,61.6,30174.0
2022,Australia,Oceania,High Income,1407138569,0.19,34.8,75.1,82.7,49749.0
2023,Australia,Oceania,High Income,1545624091,0.59,54.7,81.6,75.4,38595.0
2024,Australia,Oceania,High Income,1300865938,-0.16,52.2,69.5,69.5,46624.0
2000,Mexico,North America,Upper Middle Income,154321835,0.61,55.6,73.7,86.6,57382.0
2001,Mexico,North America,Upper Middle Income,155380634,0.69,83.5,70.8,93.9,6167.0
2002,Mexico,North America,Upper Middle Income,158744839,1.42,72.6,69.5,59.7,38595.0
2003,Mexico,North America,Upper Middle Income,154927950,0.13,40.8,75.4,75.6,53773.0
2004,Mexico,North America,Upper Middle Income,163020484,1.38,64.6,74.5,54.4,57552.0
2005,Mexico,North America,Upper Middle Income,158060018,0.48,93.5,80.6,75.6,10296.0
2006,Mexico,North America,Upper Middle Income,166372225,1.26,82.0,64.6,64.5,63576.0
2007,Mexico,North America,Upper Middle Income,155567205,0.11,89.7,70.6,54.3,65352.0
2008,Mexico,North America,Upper Middle Income,159774287,0.43,64.2,62.8,50.1,51220.0
2009,Mexico,North America,Upper Middle Income,163965733,0.68,68.6,79.8,81.7,14394.0
2010,Mexico,North America,Upper Middle Income,160820109,0.41,88.9,79.2,77.3,20824.0
2011,Mexico,North America,Upper Middle Income,159727881,0.31,77.6,81.3,82.9,64858.0
2012,Mexico,North America,Upper Middle Income,176040319,1.1,39.7,70.6,57.5,19201.0
2013,Mexico,North America,Upper Middle Income,182015961,1.28,60.7,73.4,58.7,25326.0
2014,Mexico,North America,Upper Middle Income,158509294,0.19,43.4,75.9,62.6,50745.0
2015,Mexico,North America,Upper Middle Income,152008826,-0.1,39.2,66.9,79.3,54229.0
2016,Mexico,North America,Upper Middle Income,168547205,0.55,59.0,78.1,50.8,27617.0
2017,Mexico,North America,Upper Middle Income,188754791,1.19,69.2,68.4,94.4,61924.0
2018,Mexico,North America,Upper Middle Income,161425214,0.25,71.9,74.9,69.7,29673.0
2019,Mexico,North America,Upper Middle Income,165980536,0.38,70.1,71.1,90.8,53733.0
2020,Mexico,North America,Upper Middle Income,151837431,-0.08,71.6,66.8,79.0,54570.0
2021,Mexico,North America,Upper Middle Income,160678818,0.19,59.7,64.8,52.6,30589.0
2022,Mexico,North America,Upper Middle Income,169116979,0.42,94.7,71.2,66.3,46648.0
2023,Mexico,North America,Upper Middle Income,152588619,-0.05,92.5,75.9,87.0,14053.0
2024,Mexico,North America,Upper Middle Income,173783946,0.5,57.5,80.5,50.1,24418.0
2000,South Korea,Asia,High Income,1278947923,0.61,54.9,63.0,97.7,2092.0
2001,South Korea,Asia,High Income,1292417884,1.05,80.0,66.1,82.9,7888.0
2002,South Korea,Asia,High Income,1285016816,0.24,81.2,81.6,79.8,40794.0
2003,South Korea,Asia,High Income,1281666978,0.07,34.1,62.9,61.1,27663.0
2004,South Korea,Asia,High Income,1301997615,0.45,52.5,66.0,75.0,66110.0
